ID,Ours,PDDL
0,to pour pitcher_base 31 into mug 11 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
1,to pour pitcher_base 18 into mug 1 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
2,to pour pitcher_base 16 into mug 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
3,to pour pitcher_base 16 into mug 21 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
4,to pour pitcher_base 20 into mug 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
5,to pour pitcher_base 19 into mug 27 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
6,to pour pitcher_base 2 into mug 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
7,to pour pitcher_base 27 into mug 10 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
8,to pour pitcher_base 31 into mug 20 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
9,to pour pitcher_base 2 into mug 1 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
10,to pour sugar_box 2 into mug 32 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
11,to pour sugar_box 1 into mug 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
12,to pour sugar_box 7 into mug 5 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
13,to pour sugar_box 17 into mug 19 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
14,to pour sugar_box 4 into mug 5 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
15,to pour sugar_box 2 into mug 26 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
16,to pour sugar_box 3 into mug 26 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
17,to pour sugar_box 19 into mug 28 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
18,to pour sugar_box 21 into mug 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
19,to pour sugar_box 2 into mug 3 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
20,to pour tuna_fish_can 14 into bowl 7 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
21,to pour tuna_fish_can 5 into bowl 12 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
22,to pour tuna_fish_can 27 into bowl 7 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
23,to pour tuna_fish_can 19 into bowl 31 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
24,to pour tuna_fish_can 26 into bowl 29 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
25,to pour tuna_fish_can 12 into bowl 24 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
26,to pour tuna_fish_can 24 into bowl 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
27,to pour tuna_fish_can 12 into bowl 15 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
28,to pour tuna_fish_can 12 into bowl 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
29,to pour tuna_fish_can 6 into bowl 29 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
30,to pour tomato_soup_can 15 into bowl 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
31,to pour tomato_soup_can 30 into bowl 7 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
32,to pour tomato_soup_can 32 into bowl 24 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
33,to pour tomato_soup_can 23 into bowl 16 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
34,to pour tomato_soup_can 29 into bowl 10 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
35,to pour tomato_soup_can 22 into bowl 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
36,to pour tomato_soup_can 10 into bowl 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
37,to pour tomato_soup_can 19 into bowl 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
38,to pour tomato_soup_can 31 into bowl 12 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
39,to pour tomato_soup_can 19 into bowl 17 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
40,to pour pudding_box 9 into bowl 20 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
