ID,Ours,PDDL
0,to pour pitcher_base 31 into mug 11 \n,(:goal (and (poured pitcher_base 31 mug 11)))) \n
1,to pour pitcher_base 18 into mug 1 \n,(:goal (and (poured pitcher_base 18 mug 1)))) \n
2,to pour pitcher_base 16 into mug 6 \n,(:goal (and (poured pitcher_base 16 mug 6)))) \n
3,to pour pitcher_base 16 into mug 21 \n,(:goal (and (poured pitcher_base 16 mug 21)))) \n
4,to pour pitcher_base 20 into mug 23 \n,(:goal (and (poured pitcher_base 20 mug 23)))) \n
5,to pour pitcher_base 19 into mug 27 \n,(:goal (and (poured pitcher_base 19 mug 27)))) \n
6,to pour pitcher_base 2 into mug 23 \n,(:goal (and (poured pitcher_base 2 mug 23)))) \n
7,to pour pitcher_base 27 into mug 10 \n,(:goal (and (poured pitcher_base 27 mug 10)))) \n
8,to pour pitcher_base 31 into mug 20 \n,(:goal (and (poured pitcher_base 31 mug 20)))) \n
9,to pour pitcher_base 2 into mug 1 \n,(:goal (and (poured pitcher_base 2 mug 1)))) \n
10,to pour sugar_box 2 into mug 32 \n,(:goal (and (poured sugar_box 2 mug 32)))) \n
11,to pour sugar_box 1 into mug 30 \n,(:goal (and (poured sugar_box 1 mug 30)))) \n
12,to pour sugar_box 7 into mug 5 \n,(:goal (and (poured sugar_box 7 mug 5)))) \n
13,to pour sugar_box 17 into mug 19 \n,(:goal (and (poured sugar_box 17 mug 19)))) \n
14,to pour sugar_box 4 into mug 5 \n,(:goal (and (poured sugar_box 4 mug 5)))) \n
15,to pour sugar_box 2 into mug 26 \n,(:goal (and (poured sugar_box 2 mug 26)))) \n
16,to pour sugar_box 3 into mug 26 \n,(:goal (and (poured sugar_box 3 mug 26)))) \n
17,to pour sugar_box 19 into mug 28 \n,(:goal (and (poured sugar_box 19 mug 28)))) \n
18,to pour sugar_box 21 into mug 25 \n,(:goal (and (poured sugar_box 21 mug 25)))) \n
19,to pour sugar_box 2 into mug 3 \n,(:goal (and (poured sugar_box 2 mug 3)))) \n
20,to pour tuna_fish_can 14 into bowl 7 \n,(:goal (and (poured tuna_fish_can 14 bowl 7)))) \n
21,to pour tuna_fish_can 5 into bowl 12 \n,(:goal (and (poured tuna_fish_can 5 bowl 12)))) \n
22,to pour tuna_fish_can 27 into bowl 7 \n,(:goal (and (poured tuna_fish_can 27 bowl 7)))) \n
23,to pour tuna_fish_can 19 into bowl 31 \n,(:goal (and (poured tuna_fish_can 19 bowl 31)))) \n
24,to pour tuna_fish_can 26 into bowl 29 \n,(:goal (and (poured tuna_fish_can 26 bowl 29)))) \n
25,to pour tuna_fish_can 12 into bowl 24 \n,(:goal (and (poured tuna_fish_can 12 bowl 24)))) \n
26,to pour tuna_fish_can 24 into bowl 25 \n,(:goal (and (poured tuna_fish_can 24 bowl 25)))) \n
27,to pour tuna_fish_can 12 into bowl 15 \n,(:goal (and (poured tuna_fish_can 12 bowl 15)))) \n
28,to pour tuna_fish_can 12 into bowl 23 \n,(:goal (and (poured tuna_fish_can 12 bowl 23)))) \n
29,to pour tuna_fish_can 6 into bowl 29 \n,(:goal (and (poured tuna_fish_can 6 bowl 29)))) \n
30,to pour tomato_soup_can 15 into bowl 30 \n,(:goal (and (poured tomato_soup_can 15 bowl 30)))) \n
31,to pour tomato_soup_can 30 into bowl 7 \n,(:goal (and (poured tomato_soup_can 30 bowl 7)))) \n
32,to pour tomato_soup_can 32 into bowl 24 \n,(:goal (and (poured tomato_soup_can 32 bowl 24)))) \n
33,to pour tomato_soup_can 23 into bowl 16 \n,(:goal (and (poured tomato_soup_can 23 bowl 16)))) \n
34,to pour tomato_soup_can 29 into bowl 10 \n,(:goal (and (poured tomato_soup_can 29 bowl 10)))) \n
35,to pour tomato_soup_can 22 into bowl 23 \n,(:goal (and (poured tomato_soup_can 22 bowl 23)))) \n
36,to pour tomato_soup_can 10 into bowl 30 \n,(:goal (and (poured tomato_soup_can 10 bowl 30)))) \n
37,to pour tomato_soup_can 19 into bowl 30 \n,(:goal (and (poured tomato_soup_can 19 bowl 30)))) \n
38,to pour tomato_soup_can 31 into bowl 12 \n,(:goal (and (poured tomato_soup_can 31 bowl 12)))) \n
39,to pour tomato_soup_can 19 into bowl 17 \n,(:goal (and (poured tomato_soup_can 19 bowl 17)))) \n
40,to pour pudding_box 9 into bowl 20 \n,(:goal (and (poured pudding_box 9 bowl 20)))) \n
41,to pour pudding_box 27 into bowl 28 \n,(:goal (and (poured pudding_box 27 bowl 28)))) \n
42,to pour pudding_box 10 into bowl 7 \n,(:goal (and (poured pudding_box 10 bowl 7)))) \n
43,to pour pudding_box 21 into bowl 9 \n,(:goal (and (poured pudding_box 21 bowl 9)))) \n
44,to pour pudding_box 24 into bowl 17 \n,(:goal (and (poured pudding_box 24 bowl 17)))) \n
45,to pour pudding_box 32 into bowl 6 \n,(:goal (and (poured pudding_box 32 bowl 6)))) \n
46,to pour pudding_box 9 into bowl 24 \n,(:goal (and (poured pudding_box 9 bowl 24)))) \n
47,to pour pudding_box 14 into bowl 25 \n,(:goal (and (poured pudding_box 14 bowl 25)))) \n
48,to pour pudding_box 32 into bowl 29 \n,(:goal (and (poured pudding_box 32 bowl 29)))) \n
49,to pour pudding_box 6 into bowl 8 \n,(:goal (and (poured pudding_box 6 bowl 8)))) \n
50,to pour mustard_bottle 1 into bowl 18 \n,(:goal (and (poured mustard_bottle 1 bowl 18)))) \n
51,to pour mustard_bottle 7 into bowl 23 \n,(:goal (and (poured mustard_bottle 7 bowl 23)))) \n
