ID,Ours,PDDL
0,to pour pitcher_base 1 into mug 2 \n,(:goal (and (poured pitcher_base 1 mug 2)))) \n
1,to pour pitcher_base 1 into mug 3 \n,(:goal (and (poured pitcher_base 1 mug 3)))) \n
2,to pour pitcher_base 1 into mug 4 \n,(:goal (and (poured pitcher_base 1 mug 4)))) \n
3,to pour pitcher_base 1 into mug 5 \n,(:goal (and (poured pitcher_base 1 mug 5)))) \n
4,to pour pitcher_base 1 into mug 6 \n,(:goal (and (poured pitcher_base 1 mug 6)))) \n
5,to pour pitcher_base 1 into mug 8 \n,(:goal (and (poured pitcher_base 1 mug 8)))) \n
6,to pour pitcher_base 1 into mug 9 \n,(:goal (and (poured pitcher_base 1 mug 9)))) \n
7,to pour pitcher_base 1 into mug 10 \n,(:goal (and (poured pitcher_base 1 mug 10)))) \n
8,to pour pitcher_base 1 into mug 11 \n,(:goal (and (poured pitcher_base 1 mug 11)))) \n
9,to pour pitcher_base 1 into mug 12 \n,(:goal (and (poured pitcher_base 1 mug 12)))) \n
10,to pour pitcher_base 1 into mug 13 \n,(:goal (and (poured pitcher_base 1 mug 13)))) \n
11,to pour pitcher_base 1 into mug 14 \n,(:goal (and (poured pitcher_base 1 mug 14)))) \n
12,to pour pitcher_base 1 into mug 15 \n,(:goal (and (poured pitcher_base 1 mug 15)))) \n
13,to pour pitcher_base 1 into mug 16 \n,(:goal (and (poured pitcher_base 1 mug 16)))) \n
14,to pour pitcher_base 1 into mug 17 \n,(:goal (and (poured pitcher_base 1 mug 17)))) \n
15,to pour pitcher_base 1 into mug 18 \n,(:goal (and (poured pitcher_base 1 mug 18)))) \n
16,to pour pitcher_base 1 into mug 19 \n,(:goal (and (poured pitcher_base 1 mug 19)))) \n
17,to pour pitcher_base 1 into mug 20 \n,(:goal (and (poured pitcher_base 1 mug 20)))) \n
18,to pour pitcher_base 1 into mug 21 \n,(:goal (and (poured pitcher_base 1 mug 21)))) \n
19,to pour pitcher_base 1 into mug 22 \n,(:goal (and (poured pitcher_base 1 mug 22)))) \n
20,to pour pitcher_base 1 into mug 23 \n,(:goal (and (poured pitcher_base 1 mug 23)))) \n
21,to pour pitcher_base 1 into mug 24 \n,(:goal (and (poured pitcher_base 1 mug 24)))) \n
22,to pour pitcher_base 1 into mug 25 \n,(:goal (and (poured pitcher_base 1 mug 25)))) \n
23,to pour pitcher_base 1 into mug 26 \n,(:goal (and (poured pitcher_base 1 mug 26)))) \n
24,to pour pitcher_base 1 into mug 27 \n,(:goal (and (poured pitcher_base 1 mug 27)))) \n
25,to pour pitcher_base 1 into mug 28 \n,(:goal (and (poured pitcher_base 1 mug 28)))) \n
26,to pour pitcher_base 1 into mug 29 \n,(:goal (and (poured pitcher_base 1 mug 29)))) \n
27,to pour pitcher_base 1 into mug 30 \n,(:goal (and (poured pitcher_base 1 mug 30)))) \n
28,to pour pitcher_base 1 into mug 32 \n,(:goal (and (poured pitcher_base 1 mug 32)))) \n
29,to pour pitcher_base 2 into mug 3 \n,(:goal (and (poured pitcher_base 2 mug 3)))) \n
30,to pour pitcher_base 2 into mug 4 \n,(:goal (and (poured pitcher_base 2 mug 4)))) \n
31,to pour pitcher_base 2 into mug 5 \n,(:goal (and (poured pitcher_base 2 mug 5)))) \n
32,to pour pitcher_base 2 into mug 6 \n,(:goal (and (poured pitcher_base 2 mug 6)))) \n
33,to pour pitcher_base 2 into mug 7 \n,(:goal (and (poured pitcher_base 2 mug 7)))) \n
34,to pour pitcher_base 2 into mug 9 \n,(:goal (and (poured pitcher_base 2 mug 9)))) \n
35,to pour pitcher_base 2 into mug 10 \n,(:goal (and (poured pitcher_base 2 mug 10)))) \n
36,to pour pitcher_base 2 into mug 11 \n,(:goal (and (poured pitcher_base 2 mug 11)))) \n
37,to pour pitcher_base 2 into mug 12 \n,(:goal (and (poured pitcher_base 2 mug 12)))) \n
38,to pour pitcher_base 2 into mug 13 \n,(:goal (and (poured pitcher_base 2 mug 13)))) \n
39,to pour pitcher_base 2 into mug 14 \n,(:goal (and (poured pitcher_base 2 mug 14)))) \n
40,to pour pitcher_base 2 into mug 15 \n,(:goal (and (poured pitcher_base 2 mug 15)))) \n
41,to pour pitcher_base 2 into mug 17 \n,(:goal (and (poured pitcher_base 2 mug 17)))) \n
42,to pour pitcher_base 2 into mug 19 \n,(:goal (and (poured pitcher_base 2 mug 19)))) \n
43,to pour pitcher_base 2 into mug 20 \n,(:goal (and (poured pitcher_base 2 mug 20)))) \n
44,to pour pitcher_base 2 into mug 21 \n,(:goal (and (poured pitcher_base 2 mug 21)))) \n
45,to pour pitcher_base 2 into mug 22 \n,(:goal (and (poured pitcher_base 2 mug 22)))) \n
46,to pour pitcher_base 2 into mug 24 \n,(:goal (and (poured pitcher_base 2 mug 24)))) \n
47,to pour pitcher_base 2 into mug 25 \n,(:goal (and (poured pitcher_base 2 mug 25)))) \n
48,to pour pitcher_base 2 into mug 26 \n,(:goal (and (poured pitcher_base 2 mug 26)))) \n
49,to pour pitcher_base 2 into mug 27 \n,(:goal (and (poured pitcher_base 2 mug 27)))) \n
50,to pour pitcher_base 2 into mug 29 \n,(:goal (and (poured pitcher_base 2 mug 29)))) \n
51,to pour pitcher_base 2 into mug 31 \n,(:goal (and (poured pitcher_base 2 mug 31)))) \n
52,to pour pitcher_base 2 into mug 32 \n,(:goal (and (poured pitcher_base 2 mug 32)))) \n
53,to pour pitcher_base 3 into mug 1 \n,(:goal (and (poured pitcher_base 3 mug 1)))) \n
54,to pour pitcher_base 3 into mug 2 \n,(:goal (and (poured pitcher_base 3 mug 2)))) \n
55,to pour pitcher_base 3 into mug 4 \n,(:goal (and (poured pitcher_base 3 mug 4)))) \n
56,to pour pitcher_base 3 into mug 5 \n,(:goal (and (poured pitcher_base 3 mug 5)))) \n
57,to pour pitcher_base 3 into mug 6 \n,(:goal (and (poured pitcher_base 3 mug 6)))) \n
58,to pour pitcher_base 3 into mug 7 \n,(:goal (and (poured pitcher_base 3 mug 7)))) \n
59,to pour pitcher_base 3 into mug 8 \n,(:goal (and (poured pitcher_base 3 mug 8)))) \n
60,to pour pitcher_base 3 into mug 9 \n,(:goal (and (poured pitcher_base 3 mug 9)))) \n
61,to pour pitcher_base 3 into mug 10 \n,(:goal (and (poured pitcher_base 3 mug 10)))) \n
62,to pour pitcher_base 3 into mug 11 \n,(:goal (and (poured pitcher_base 3 mug 11)))) \n
63,to pour pitcher_base 3 into mug 12 \n,(:goal (and (poured pitcher_base 3 mug 12)))) \n
64,to pour pitcher_base 3 into mug 13 \n,(:goal (and (poured pitcher_base 3 mug 13)))) \n
65,to pour pitcher_base 3 into mug 14 \n,(:goal (and (poured pitcher_base 3 mug 14)))) \n
66,to pour pitcher_base 3 into mug 16 \n,(:goal (and (poured pitcher_base 3 mug 16)))) \n
67,to pour pitcher_base 3 into mug 18 \n,(:goal (and (poured pitcher_base 3 mug 18)))) \n
68,to pour pitcher_base 3 into mug 19 \n,(:goal (and (poured pitcher_base 3 mug 19)))) \n
69,to pour pitcher_base 3 into mug 20 \n,(:goal (and (poured pitcher_base 3 mug 20)))) \n
70,to pour pitcher_base 3 into mug 21 \n,(:goal (and (poured pitcher_base 3 mug 21)))) \n
71,to pour pitcher_base 3 into mug 22 \n,(:goal (and (poured pitcher_base 3 mug 22)))) \n
72,to pour pitcher_base 3 into mug 23 \n,(:goal (and (poured pitcher_base 3 mug 23)))) \n
73,to pour pitcher_base 3 into mug 24 \n,(:goal (and (poured pitcher_base 3 mug 24)))) \n
74,to pour pitcher_base 3 into mug 25 \n,(:goal (and (poured pitcher_base 3 mug 25)))) \n
75,to pour pitcher_base 3 into mug 26 \n,(:goal (and (poured pitcher_base 3 mug 26)))) \n
76,to pour pitcher_base 3 into mug 27 \n,(:goal (and (poured pitcher_base 3 mug 27)))) \n
77,to pour pitcher_base 3 into mug 28 \n,(:goal (and (poured pitcher_base 3 mug 28)))) \n
78,to pour pitcher_base 3 into mug 29 \n,(:goal (and (poured pitcher_base 3 mug 29)))) \n
79,to pour pitcher_base 3 into mug 30 \n,(:goal (and (poured pitcher_base 3 mug 30)))) \n
80,to pour pitcher_base 3 into mug 31 \n,(:goal (and (poured pitcher_base 3 mug 31)))) \n
81,to pour pitcher_base 3 into mug 32 \n,(:goal (and (poured pitcher_base 3 mug 32)))) \n
82,to pour pitcher_base 4 into mug 1 \n,(:goal (and (poured pitcher_base 4 mug 1)))) \n
83,to pour pitcher_base 4 into mug 2 \n,(:goal (and (poured pitcher_base 4 mug 2)))) \n
84,to pour pitcher_base 4 into mug 3 \n,(:goal (and (poured pitcher_base 4 mug 3)))) \n
85,to pour pitcher_base 4 into mug 5 \n,(:goal (and (poured pitcher_base 4 mug 5)))) \n
86,to pour pitcher_base 4 into mug 6 \n,(:goal (and (poured pitcher_base 4 mug 6)))) \n
87,to pour pitcher_base 4 into mug 7 \n,(:goal (and (poured pitcher_base 4 mug 7)))) \n
88,to pour pitcher_base 4 into mug 8 \n,(:goal (and (poured pitcher_base 4 mug 8)))) \n
89,to pour pitcher_base 4 into mug 9 \n,(:goal (and (poured pitcher_base 4 mug 9)))) \n
90,to pour pitcher_base 4 into mug 10 \n,(:goal (and (poured pitcher_base 4 mug 10)))) \n
91,to pour pitcher_base 4 into mug 11 \n,(:goal (and (poured pitcher_base 4 mug 11)))) \n
92,to pour pitcher_base 4 into mug 12 \n,(:goal (and (poured pitcher_base 4 mug 12)))) \n
93,to pour pitcher_base 4 into mug 13 \n,(:goal (and (poured pitcher_base 4 mug 13)))) \n
94,to pour pitcher_base 4 into mug 14 \n,(:goal (and (poured pitcher_base 4 mug 14)))) \n
95,to pour pitcher_base 4 into mug 15 \n,(:goal (and (poured pitcher_base 4 mug 15)))) \n
96,to pour pitcher_base 4 into mug 16 \n,(:goal (and (poured pitcher_base 4 mug 16)))) \n
97,to pour pitcher_base 4 into mug 17 \n,(:goal (and (poured pitcher_base 4 mug 17)))) \n
98,to pour pitcher_base 4 into mug 18 \n,(:goal (and (poured pitcher_base 4 mug 18)))) \n
99,to pour pitcher_base 4 into mug 19 \n,(:goal (and (poured pitcher_base 4 mug 19)))) \n
100,to pour pitcher_base 4 into mug 20 \n,(:goal (and (poured pitcher_base 4 mug 20)))) \n
101,to pour pitcher_base 4 into mug 21 \n,(:goal (and (poured pitcher_base 4 mug 21)))) \n
102,to pour pitcher_base 4 into mug 22 \n,(:goal (and (poured pitcher_base 4 mug 22)))) \n
103,to pour pitcher_base 4 into mug 23 \n,(:goal (and (poured pitcher_base 4 mug 23)))) \n
104,to pour pitcher_base 4 into mug 24 \n,(:goal (and (poured pitcher_base 4 mug 24)))) \n
105,to pour pitcher_base 4 into mug 25 \n,(:goal (and (poured pitcher_base 4 mug 25)))) \n
106,to pour pitcher_base 4 into mug 28 \n,(:goal (and (poured pitcher_base 4 mug 28)))) \n
107,to pour pitcher_base 4 into mug 29 \n,(:goal (and (poured pitcher_base 4 mug 29)))) \n
108,to pour pitcher_base 4 into mug 30 \n,(:goal (and (poured pitcher_base 4 mug 30)))) \n
109,to pour pitcher_base 4 into mug 31 \n,(:goal (and (poured pitcher_base 4 mug 31)))) \n
110,to pour pitcher_base 4 into mug 32 \n,(:goal (and (poured pitcher_base 4 mug 32)))) \n
111,to pour pitcher_base 5 into mug 1 \n,(:goal (and (poured pitcher_base 5 mug 1)))) \n
112,to pour pitcher_base 5 into mug 6 \n,(:goal (and (poured pitcher_base 5 mug 6)))) \n
113,to pour pitcher_base 5 into mug 7 \n,(:goal (and (poured pitcher_base 5 mug 7)))) \n
114,to pour pitcher_base 5 into mug 8 \n,(:goal (and (poured pitcher_base 5 mug 8)))) \n
115,to pour pitcher_base 5 into mug 9 \n,(:goal (and (poured pitcher_base 5 mug 9)))) \n
116,to pour pitcher_base 5 into mug 10 \n,(:goal (and (poured pitcher_base 5 mug 10)))) \n
117,to pour pitcher_base 5 into mug 11 \n,(:goal (and (poured pitcher_base 5 mug 11)))) \n
118,to pour pitcher_base 5 into mug 12 \n,(:goal (and (poured pitcher_base 5 mug 12)))) \n
119,to pour pitcher_base 5 into mug 13 \n,(:goal (and (poured pitcher_base 5 mug 13)))) \n
