ID,Task,Subject Name,Experiment,Objects,Trial,Annotation file
0,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 31 \n,BBM01,Expt 3 (Opening),Bleach cleanser,Trial 1,Trial 1.xml
1,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 6 \n,BBM01,Expt 3 (Opening),Bleach cleanser,Trial 2,Trial 2.xml
2,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 9 \n,BBM01,Expt 3 (Opening),Bleach cleanser,Trial 3,Trial 3.xml
3,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 15 \n,BBM01,Expt 3 (Opening),Bleach cleanser,Trial 4,Trial 4.xml
4,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 27 \n,BBM01,Expt 3 (Opening),Bleach cleanser,Trial 5,Trial 5.xml
5,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 7 \n,BBM01,Expt 3 (Opening),Bleach cleanser,Trial 6,Trial 6.xml
6,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 10 \n,BBM01,Expt 3 (Opening),Bleach cleanser,Trial 7,Trial 7.xml
7,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 3 \n,BBM01,Expt 3 (Opening),Bleach cleanser,Trial 8,Trial 8.xml
8,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 12 \n,BBM01,Expt 3 (Opening),Bleach cleanser,Trial 9,Trial 9.xml
9,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 23 \n,BBM01,Expt 3 (Opening),Bleach cleanser,Trial 10,Trial 10.xml
10,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 20 \n,BBM01,Expt 3 (Opening),Gelatin box,Trial 1,Trial 1.xml
11,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 7 \n,BBM01,Expt 3 (Opening),Gelatin box,Trial 2,Trial 2.xml
12,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 25 \n,BBM01,Expt 3 (Opening),Gelatin box,Trial 3,Trial 3.xml
13,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 30 \n,BBM01,Expt 3 (Opening),Gelatin box,Trial 4,Trial 4.xml
14,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 27 \n,BBM01,Expt 3 (Opening),Gelatin box,Trial 5,Trial 5.xml
15,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 26 \n,BBM01,Expt 3 (Opening),Gelatin box,Trial 6,Trial 6.xml
16,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 14 \n,BBM01,Expt 3 (Opening),Gelatin box,Trial 7,Trial 7.xml
17,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 32 \n,BBM01,Expt 3 (Opening),Gelatin box,Trial 8,Trial 8.xml
18,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 11 \n,BBM01,Expt 3 (Opening),Gelatin box,Trial 9,Trial 9.xml
19,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 1 \n,BBM01,Expt 3 (Opening),Gelatin box,Trial 10,Trial 10.xml
20,approach handright marker and enclose handright marker and approach handleft marker to open marker 10 \n,BBM01,Expt 3 (Opening),Marker,Trial 1,Trial 1.xml
21,approach handright marker and enclose handright marker and approach handleft marker to open marker 16 \n,BBM01,Expt 3 (Opening),Marker,Trial 2,Trial 2.xml
22,approach handright marker and enclose handright marker and approach handleft marker to open marker 15 \n,BBM01,Expt 3 (Opening),Marker,Trial 3,Trial 3.xml
23,approach handright marker and enclose handright marker and approach handleft marker to open marker 11 \n,BBM01,Expt 3 (Opening),Marker,Trial 4,Trial 4.xml
24,approach handright marker and enclose handright marker and approach handleft marker to open marker 24 \n,BBM01,Expt 3 (Opening),Marker,Trial 5,Trial 5.xml
25,approach handright marker and enclose handright marker and approach handleft marker to open marker 4 \n,BBM01,Expt 3 (Opening),Marker,Trial 6,Trial 6.xml
26,approach handright marker and enclose handright marker and approach handleft marker to open marker 29 \n,BBM01,Expt 3 (Opening),Marker,Trial 7,Trial 7.xml
27,approach handright marker and enclose handright marker and approach handleft marker to open marker 1 \n,BBM01,Expt 3 (Opening),Marker,Trial 8,Trial 8.xml
28,approach handright marker and enclose handright marker and approach handleft marker to open marker 31 \n,BBM01,Expt 3 (Opening),Marker,Trial 9,Trial 9.xml
29,approach handright marker and enclose handright marker and approach handleft marker to open marker 28 \n,BBM01,Expt 3 (Opening),Marker,Trial 10,Trial 10.xml
30,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 9 \n,BBM01,Expt 3 (Opening),Master chef can,Trial 1,Trial 1.xml
31,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 16 \n,BBM01,Expt 3 (Opening),Master chef can,Trial 2,Trial 2.xml
32,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 8 \n,BBM01,Expt 3 (Opening),Master chef can,Trial 3,Trial 3.xml
33,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 20 \n,BBM01,Expt 3 (Opening),Master chef can,Trial 4,Trial 4.xml
34,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 23 \n,BBM01,Expt 3 (Opening),Master chef can,Trial 5,Trial 5.xml
35,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 1 \n,BBM01,Expt 3 (Opening),Master chef can,Trial 6,Trial 6.xml
36,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 10 \n,BBM01,Expt 3 (Opening),Master chef can,Trial 7,Trial 7.xml
37,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 32 \n,BBM01,Expt 3 (Opening),Master chef can,Trial 8,Trial 8.xml
38,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 25 \n,BBM01,Expt 3 (Opening),Master chef can,Trial 9,Trial 9.xml
39,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 29 \n,BBM01,Expt 3 (Opening),Master chef can,Trial 10,Trial 10.xml
40,approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handright mustard_bottle to open mustard_bottle 19 \n,BBM01,Expt 3 (Opening),Mustard bottle,Trial 1,Trial 1.xml
41,approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handright mustard_bottle to open mustard_bottle 17 \n,BBM01,Expt 3 (Opening),Mustard bottle,Trial 2,Trial 2.xml
42,approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handright mustard_bottle to open mustard_bottle 3 \n,BBM01,Expt 3 (Opening),Mustard bottle,Trial 3,Trial 3.xml
43,approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handright mustard_bottle to open mustard_bottle 23 \n,BBM01,Expt 3 (Opening),Mustard bottle,Trial 4,Trial 4.xml
44,approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handright mustard_bottle to open mustard_bottle 31 \n,BBM01,Expt 3 (Opening),Mustard bottle,Trial 5,Trial 5.xml
45,approach handright mustard_bottle and enclose handright mustard_bottle and approach handleft mustard_bottle to open mustard_bottle 25 \n,BBM01,Expt 3 (Opening),Mustard bottle,Trial 6,Trial 6.xml
46,approach handright mustard_bottle and enclose handright mustard_bottle and approach handleft mustard_bottle to open mustard_bottle 1 \n,BBM01,Expt 3 (Opening),Mustard bottle,Trial 7,Trial 7.xml
47,approach handright mustard_bottle and enclose handright mustard_bottle and approach handleft mustard_bottle to open mustard_bottle 9 \n,BBM01,Expt 3 (Opening),Mustard bottle,Trial 8,Trial 8.xml
48,approach handright mustard_bottle and enclose handright mustard_bottle and approach handleft mustard_bottle to open mustard_bottle 12 \n,BBM01,Expt 3 (Opening),Mustard bottle,Trial 9,Trial 9.xml
49,approach handright mustard_bottle and enclose handright mustard_bottle and approach handleft mustard_bottle to open mustard_bottle 8 \n,BBM01,Expt 3 (Opening),Mustard bottle,Trial 10,Trial 10.xml
50,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright pitcher_base to open pitcher_base 12 \n,BBM01,Expt 3 (Opening),Pitcher base,Trial 1,Trial 1.xml
51,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright pitcher_base to open pitcher_base 26 \n,BBM01,Expt 3 (Opening),Pitcher base,Trial 2,Trial 2.xml
52,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright pitcher_base to open pitcher_base 14 \n,BBM01,Expt 3 (Opening),Pitcher base,Trial 3,Trial 3.xml
53,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright pitcher_base to open pitcher_base 3 \n,BBM01,Expt 3 (Opening),Pitcher base,Trial 4,Trial 4.xml
54,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright pitcher_base to open pitcher_base 19 \n,BBM01,Expt 3 (Opening),Pitcher base,Trial 5,Trial 5.xml
55,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright pitcher_base to open pitcher_base 32 \n,BBM01,Expt 3 (Opening),Pitcher base,Trial 6,Trial 6.xml
56,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright pitcher_base to open pitcher_base 22 \n,BBM01,Expt 3 (Opening),Pitcher base,Trial 7,Trial 7.xml
57,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright pitcher_base to open pitcher_base 30 \n,BBM01,Expt 3 (Opening),Pitcher base,Trial 8,Trial 8.xml
58,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright pitcher_base to open pitcher_base 25 \n,BBM01,Expt 3 (Opening),Pitcher base,Trial 9,Trial 9.xml
59,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright pitcher_base to open pitcher_base 13 \n,BBM01,Expt 3 (Opening),Pitcher base,Trial 10,Trial 10.xml
60,approach handright potted_meat_can and enclose handright potted_meat_can and approach handleft potted_meat_can to open potted_meat_can 16 \n,BBM01,Expt 3 (Opening),Potted meat can,Trial 1,Trial 1.xml
61,approach handright potted_meat_can and enclose handright potted_meat_can and approach handleft potted_meat_can to open potted_meat_can 14 \n,BBM01,Expt 3 (Opening),Potted meat can,Trial 2,Trial 2.xml
62,approach handright potted_meat_can and enclose handright potted_meat_can and approach handleft potted_meat_can to open potted_meat_can 15 \n,BBM01,Expt 3 (Opening),Potted meat can,Trial 3,Trial 3.xml
63,approach handright potted_meat_can and enclose handright potted_meat_can and approach handleft potted_meat_can to open potted_meat_can 26 \n,BBM01,Expt 3 (Opening),Potted meat can,Trial 4,Trial 4.xml
64,approach handright potted_meat_can and enclose handright potted_meat_can and approach handleft potted_meat_can to open potted_meat_can 9 \n,BBM01,Expt 3 (Opening),Potted meat can,Trial 5,Trial 5.xml
65,approach handright potted_meat_can and enclose handright potted_meat_can and approach handleft potted_meat_can to open potted_meat_can 4 \n,BBM01,Expt 3 (Opening),Potted meat can,Trial 6,Trial 6.xml
66,approach handright potted_meat_can and enclose handright potted_meat_can and approach handleft potted_meat_can to open potted_meat_can 28 \n,BBM01,Expt 3 (Opening),Potted meat can,Trial 7,Trial 7.xml
67,approach handright potted_meat_can and enclose handright potted_meat_can and approach handleft potted_meat_can to open potted_meat_can 31 \n,BBM01,Expt 3 (Opening),Potted meat can,Trial 8,Trial 8.xml
68,approach handright potted_meat_can and enclose handright potted_meat_can and approach handleft potted_meat_can to open potted_meat_can 30 \n,BBM01,Expt 3 (Opening),Potted meat can,Trial 9,Trial 9.xml
69,approach handright potted_meat_can and enclose handright potted_meat_can and approach handleft potted_meat_can to open potted_meat_can 25 \n,BBM01,Expt 3 (Opening),Potted meat can,Trial 10,Trial 10.xml
70,approach handleft sugar_box and enclose handleft sugar_box and approach handright sugar_box to open sugar_box 9 \n,BBM01,Expt 3 (Opening),Sugar box,Trial 1,Trial 1.xml
71,approach handleft sugar_box and enclose handleft sugar_box and approach handright sugar_box to open sugar_box 2 \n,BBM01,Expt 3 (Opening),Sugar box,Trial 2,Trial 2.xml
72,approach handleft sugar_box and enclose handleft sugar_box and approach handright sugar_box to open sugar_box 25 \n,BBM01,Expt 3 (Opening),Sugar box,Trial 3,Trial 3.xml
73,approach handleft sugar_box and enclose handleft sugar_box and approach handright sugar_box to open sugar_box 20 \n,BBM01,Expt 3 (Opening),Sugar box,Trial 4,Trial 4.xml
74,approach handleft sugar_box and enclose handleft sugar_box and approach handright sugar_box to open sugar_box 28 \n,BBM01,Expt 3 (Opening),Sugar box,Trial 5,Trial 5.xml
75,approach handleft sugar_box and enclose handleft sugar_box and approach handright sugar_box to open sugar_box 30 \n,BBM01,Expt 3 (Opening),Sugar box,Trial 6,Trial 6.xml
76,approach handleft sugar_box and enclose handleft sugar_box and approach handright sugar_box to open sugar_box 17 \n,BBM01,Expt 3 (Opening),Sugar box,Trial 7,Trial 7.xml
77,approach handleft sugar_box and enclose handleft sugar_box and approach handright sugar_box to open sugar_box 22 \n,BBM01,Expt 3 (Opening),Sugar box,Trial 8,Trial 8.xml
78,approach handleft sugar_box and enclose handleft sugar_box and approach handright sugar_box to open sugar_box 1 \n,BBM01,Expt 3 (Opening),Sugar box,Trial 9,Trial 9.xml
79,approach handleft sugar_box and enclose handleft sugar_box and approach handright sugar_box to open sugar_box 9 \n,BBM01,Expt 3 (Opening),Sugar box,Trial 10,Trial 10.xml
80,approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright tomato_soup_can to open tomato_soup_can 19 \n,BBM01,Expt 3 (Opening),Tomato soup can,Trial 1,Trial 1.xml
81,approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright tomato_soup_can to open tomato_soup_can 18 \n,BBM01,Expt 3 (Opening),Tomato soup can,Trial 2,Trial 2.xml
82,approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright tomato_soup_can to open tomato_soup_can 3 \n,BBM01,Expt 3 (Opening),Tomato soup can,Trial 3,Trial 3.xml
83,approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright tomato_soup_can to open tomato_soup_can 32 \n,BBM01,Expt 3 (Opening),Tomato soup can,Trial 4,Trial 4.xml
84,approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright tomato_soup_can to open tomato_soup_can 22 \n,BBM01,Expt 3 (Opening),Tomato soup can,Trial 5,Trial 5.xml
85,approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright tomato_soup_can to open tomato_soup_can 9 \n,BBM01,Expt 3 (Opening),Tomato soup can,Trial 6,Trial 6.xml
86,approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright tomato_soup_can to open tomato_soup_can 24 \n,BBM01,Expt 3 (Opening),Tomato soup can,Trial 7,Trial 7.xml
87,approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright tomato_soup_can to open tomato_soup_can 10 \n,BBM01,Expt 3 (Opening),Tomato soup can,Trial 8,Trial 8.xml
88,approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright tomato_soup_can to open tomato_soup_can 16 \n,BBM01,Expt 3 (Opening),Tomato soup can,Trial 9,Trial 9.xml
89,approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright tomato_soup_can to open tomato_soup_can 25 \n,BBM01,Expt 3 (Opening),Tomato soup can,Trial 10,Trial 10.xml
90,approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handright tuna_fish_can to open tuna_fish_can 21 \n,BBM01,Expt 3 (Opening),Tuna fish can,Trial 1,Trial 1.xml
91,approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handright tuna_fish_can to open tuna_fish_can 26 \n,BBM01,Expt 3 (Opening),Tuna fish can,Trial 2,Trial 2.xml
92,approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handright tuna_fish_can to open tuna_fish_can 32 \n,BBM01,Expt 3 (Opening),Tuna fish can,Trial 3,Trial 3.xml
93,approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handright tuna_fish_can to open tuna_fish_can 14 \n,BBM01,Expt 3 (Opening),Tuna fish can,Trial 4,Trial 4.xml
94,approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handright tuna_fish_can to open tuna_fish_can 10 \n,BBM01,Expt 3 (Opening),Tuna fish can,Trial 5,Trial 5.xml
95,approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handright tuna_fish_can to open tuna_fish_can 16 \n,BBM01,Expt 3 (Opening),Tuna fish can,Trial 6,Trial 6.xml
96,approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handright tuna_fish_can to open tuna_fish_can 28 \n,BBM01,Expt 3 (Opening),Tuna fish can,Trial 7,Trial 7.xml
97,approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handright tuna_fish_can to open tuna_fish_can 7 \n,BBM01,Expt 3 (Opening),Tuna fish can,Trial 8,Trial 8.xml
98,approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handright tuna_fish_can to open tuna_fish_can 12 \n,BBM01,Expt 3 (Opening),Tuna fish can,Trial 9,Trial 9.xml
99,approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handright tuna_fish_can to open tuna_fish_can 3 \n,BBM01,Expt 3 (Opening),Tuna fish can,Trial 10,Trial 10.xml
100,approach handleft cracker_box and enclose handleft cracker_box and approach handright cracker_box to open cracker_box 14 \n,BBM01,Expt 3 (Opening),Cracker box,Trial 1,Trial 1.xml
