ID,Task,Subject Name,Experiment,Objects,Trial,Annotation file
0,approach handright banana and enclose handright banana and approach handleft banana and enclose handleft banana to pass banana 19 to experimenter_hand 17 \n,BBM01,Expt 2 (Passing),Banana,Trial 1,Trial 1.xml
1,approach handright banana and enclose handright banana and approach handleft banana and enclose handleft banana to pass banana 10 to experimenter_hand 4 \n,BBM01,Expt 2 (Passing),Banana,Trial 2,Trial 2.xml
2,approach handright banana and enclose handright banana and approach handleft banana and enclose handleft banana to pass banana 9 to experimenter_hand 27 \n,BBM01,Expt 2 (Passing),Banana,Trial 3,Trial 3.xml
3,approach handright banana and enclose handright banana and approach handleft banana and enclose handleft banana to pass banana 5 to experimenter_hand 25 \n,BBM01,Expt 2 (Passing),Banana,Trial 4,Trial 4.xml
4,approach handright banana and enclose handright banana and approach handleft banana and enclose handleft banana to pass banana 25 to experimenter_hand 19 \n,BBM01,Expt 2 (Passing),Banana,Trial 5,Trial 5.xml
5,approach handright banana and enclose handright banana and approach handleft banana and enclose handleft banana to pass banana 31 to experimenter_hand 1 \n,BBM01,Expt 2 (Passing),Banana,Trial 6,Trial 6.xml
6,approach handright banana and enclose handright banana and approach handleft banana and enclose handleft banana to pass banana 13 to experimenter_hand 3 \n,BBM01,Expt 2 (Passing),Banana,Trial 7,Trial 7.xml
7,approach handright banana and enclose handright banana and approach handleft banana and enclose handleft banana to pass banana 30 to experimenter_hand 5 \n,BBM01,Expt 2 (Passing),Banana,Trial 8,Trial 8.xml
8,approach handright banana and enclose handright banana and approach handleft banana and enclose handleft banana to pass banana 15 to experimenter_hand 10 \n,BBM01,Expt 2 (Passing),Banana,Trial 9,Trial 9.xml
9,approach handright banana and enclose handright banana and approach handleft banana and enclose handleft banana to pass banana 10 to experimenter_hand 17 \n,BBM01,Expt 2 (Passing),Banana,Trial 10,Trial 10.xml
10,approach handright bowl and enclose handright bowl and approach handleft bowl and enclose handleft bowl to pass bowl 24 to experimenter_hand 32 \n,BBM01,Expt 2 (Passing),Bowl,Trial 1,Trial 1.xml
11,approach handright bowl and enclose handright bowl and approach handleft bowl and enclose handleft bowl to pass bowl 13 to experimenter_hand 14 \n,BBM01,Expt 2 (Passing),Bowl,Trial 2,Trial 2.xml
12,approach handright bowl and enclose handright bowl and approach handleft bowl and enclose handleft bowl to pass bowl 17 to experimenter_hand 6 \n,BBM01,Expt 2 (Passing),Bowl,Trial 3,Trial 3.xml
13,approach handright bowl and enclose handright bowl and approach handleft bowl and enclose handleft bowl to pass bowl 18 to experimenter_hand 4 \n,BBM01,Expt 2 (Passing),Bowl,Trial 4,Trial 4.xml
14,approach handright bowl and enclose handright bowl and approach handleft bowl and enclose handleft bowl to pass bowl 25 to experimenter_hand 5 \n,BBM01,Expt 2 (Passing),Bowl,Trial 5,Trial 5.xml
15,approach handright bowl and enclose handright bowl and approach handleft bowl and enclose handleft bowl to pass bowl 11 to experimenter_hand 4 \n,BBM01,Expt 2 (Passing),Bowl,Trial 6,Trial 6.xml
16,approach handright bowl and enclose handright bowl and approach handleft bowl and enclose handleft bowl to pass bowl 26 to experimenter_hand 30 \n,BBM01,Expt 2 (Passing),Bowl,Trial 7,Trial 7.xml
17,approach handright bowl and enclose handright bowl and approach handleft bowl and enclose handleft bowl to pass bowl 3 to experimenter_hand 19 \n,BBM01,Expt 2 (Passing),Bowl,Trial 8,Trial 8.xml
18,approach handright bowl and enclose handright bowl and approach handleft bowl and enclose handleft bowl to pass bowl 10 to experimenter_hand 3 \n,BBM01,Expt 2 (Passing),Bowl,Trial 9,Trial 9.xml
