ID,Task,Subject Name,Experiment,Objects,Trial,Annotation file
0,approach handright mug and approach handleft pitcher_base and enclose handright mug and enclose handleft pitcher_base and approach handleft mug to pour pitcher_base 31 into mug 11 \n,BBM01,Expt 1 (Pouring),Mug and Pitcher base,Trial 1,Trial 1.xml
1,approach handright mug and enclose handright mug and approach handleft pitcher_base and enclose handleft pitcher_base and approach handleft mug to pour pitcher_base 18 into mug 1 \n,BBM01,Expt 1 (Pouring),Mug and Pitcher base,Trial 2,Trial 2.xml
2,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 16 into mug 6 \n,BBM01,Expt 1 (Pouring),Mug and Pitcher base,Trial 3,Trial 3.xml
3,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 16 into mug 21 \n,BBM01,Expt 1 (Pouring),Mug and Pitcher base,Trial 4,Trial 4.xml
4,approach handright pitcher_base and enclose handright pitcher_base and approach handleft mug and enclose handleft mug and approach handright mug to pour pitcher_base 20 into mug 23 \n,BBM01,Expt 1 (Pouring),Mug and Pitcher base,Trial 5,Trial 5.xml
5,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 19 into mug 27 \n,BBM01,Expt 1 (Pouring),Mug and Pitcher base,Trial 6,Trial 6.xml
6,approach handright pitcher_base and enclose handright pitcher_base and approach handleft mug and enclose handleft mug and approach handright mug to pour pitcher_base 2 into mug 23 \n,BBM01,Expt 1 (Pouring),Mug and Pitcher base,Trial 7,Trial 7.xml
7,approach handright mug and enclose handright mug and approach handleft pitcher_base and enclose handleft pitcher_base and approach handleft mug to pour pitcher_base 27 into mug 10 \n,BBM01,Expt 1 (Pouring),Mug and Pitcher base,Trial 8,Trial 8.xml
8,approach handright mug and approach handleft pitcher_base and enclose handright mug and enclose handleft pitcher_base and approach handleft mug to pour pitcher_base 31 into mug 20 \n,BBM01,Expt 1 (Pouring),Mug and Pitcher base,Trial 9,Trial 9.xml
9,approach handright mug and enclose handright mug and approach handleft pitcher_base and enclose handleft pitcher_base and approach handleft mug to pour pitcher_base 2 into mug 1 \n,BBM01,Expt 1 (Pouring),Mug and Pitcher base,Trial 10,Trial 10.xml
10,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 2 into mug 32 \n,BBM01,Expt 1 (Pouring),Mug and Sugar box,Trial 1,Trial 1.xml
11,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 1 into mug 30 \n,BBM01,Expt 1 (Pouring),Mug and Sugar box,Trial 2,Trial 2.xml
12,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 7 into mug 5 \n,BBM01,Expt 1 (Pouring),Mug and Sugar box,Trial 3,Trial 3.xml
13,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handright mug to pour sugar_box 17 into mug 19 \n,BBM01,Expt 1 (Pouring),Mug and Sugar box,Trial 4,Trial 4.xml
14,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handright mug to pour sugar_box 4 into mug 5 \n,BBM01,Expt 1 (Pouring),Mug and Sugar box,Trial 5,Trial 5.xml
15,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 2 into mug 26 \n,BBM01,Expt 1 (Pouring),Mug and Sugar box,Trial 6,Trial 6.xml
16,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 3 into mug 26 \n,BBM01,Expt 1 (Pouring),Mug and Sugar box,Trial 7,Trial 7.xml
17,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 19 into mug 28 \n,BBM01,Expt 1 (Pouring),Mug and Sugar box,Trial 8,Trial 8.xml
18,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 21 into mug 25 \n,BBM01,Expt 1 (Pouring),Mug and Sugar box,Trial 9,Trial 9.xml
19,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handright mug to pour sugar_box 2 into mug 3 \n,BBM01,Expt 1 (Pouring),Mug and Sugar box,Trial 10,Trial 10.xml
20,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 14 into bowl 7 \n,BBM01,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 1,Trial 1.xml
21,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 5 into bowl 12 \n,BBM01,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 2,Trial 2.xml
22,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 27 into bowl 7 \n,BBM01,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 3,Trial 3.xml
23,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 19 into bowl 31 \n,BBM01,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 4,Trial 4.xml
24,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 26 into bowl 29 \n,BBM01,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 5,Trial 5.xml
25,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 12 into bowl 24 \n,BBM01,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 6,Trial 6.xml
26,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 24 into bowl 25 \n,BBM01,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 7,Trial 7.xml
27,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 12 into bowl 15 \n,BBM01,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 8,Trial 8.xml
28,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 12 into bowl 23 \n,BBM01,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 9,Trial 9.xml
29,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 6 into bowl 29 \n,BBM01,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 10,Trial 10.xml
30,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 15 into bowl 30 \n,BBM01,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 1,Trial 1.xml
31,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 30 into bowl 7 \n,BBM01,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 2,Trial 2.xml
32,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 32 into bowl 24 \n,BBM01,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 3,Trial 3.xml
33,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 23 into bowl 16 \n,BBM01,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 4,Trial 4.xml
34,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright bowl to pour tomato_soup_can 29 into bowl 10 \n,BBM01,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 5,Trial 5.xml
35,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 22 into bowl 23 \n,BBM01,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 6,Trial 6.xml
36,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 10 into bowl 30 \n,BBM01,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 7,Trial 7.xml
37,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 19 into bowl 30 \n,BBM01,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 8,Trial 8.xml
38,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright bowl to pour tomato_soup_can 31 into bowl 12 \n,BBM01,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 9,Trial 9.xml
39,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handright bowl to pour tomato_soup_can 19 into bowl 17 \n,BBM01,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 10,Trial 10.xml
40,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 9 into bowl 20 \n,BBM01,Expt 1 (Pouring),Bowl and Pudding box,Trial 1,Trial 1.xml
41,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 27 into bowl 28 \n,BBM01,Expt 1 (Pouring),Bowl and Pudding box,Trial 2,Trial 2.xml
42,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 10 into bowl 7 \n,BBM01,Expt 1 (Pouring),Bowl and Pudding box,Trial 3,Trial 3.xml
43,approach handright bowl and enclose handright bowl and approach handleft pudding_box and enclose handleft pudding_box and approach handright bowl to pour pudding_box 21 into bowl 9 \n,BBM01,Expt 1 (Pouring),Bowl and Pudding box,Trial 4,Trial 4.xml
44,approach handright bowl and enclose handright bowl and approach handleft pudding_box and enclose handleft pudding_box and approach handleft bowl to pour pudding_box 24 into bowl 17 \n,BBM01,Expt 1 (Pouring),Bowl and Pudding box,Trial 5,Trial 5.xml
45,approach handright bowl and enclose handright bowl and approach handleft pudding_box and enclose handleft pudding_box and approach handleft bowl to pour pudding_box 32 into bowl 6 \n,BBM01,Expt 1 (Pouring),Bowl and Pudding box,Trial 6,Trial 6.xml
46,approach handright bowl and enclose handright bowl and approach handleft pudding_box and enclose handleft pudding_box and approach handleft bowl to pour pudding_box 9 into bowl 24 \n,BBM01,Expt 1 (Pouring),Bowl and Pudding box,Trial 7,Trial 7.xml
47,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 14 into bowl 25 \n,BBM01,Expt 1 (Pouring),Bowl and Pudding box,Trial 8,Trial 8.xml
48,approach handright bowl and enclose handright bowl and approach handleft pudding_box and enclose handleft pudding_box and approach handleft bowl to pour pudding_box 32 into bowl 29 \n,BBM01,Expt 1 (Pouring),Bowl and Pudding box,Trial 9,Trial 9.xml
49,approach handleft bowl and enclose handleft bowl and approach handright pudding_box and enclose handright pudding_box and approach handright bowl to pour pudding_box 6 into bowl 8 \n,BBM01,Expt 1 (Pouring),Bowl and Pudding box,Trial 10,Trial 10.xml
50,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 1 into bowl 18 \n,BBM01,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 1,Trial 1.xml
51,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 7 into bowl 23 \n,BBM01,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 2,Trial 2.xml
52,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 25 into bowl 18 \n,BBM01,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 3,Trial 3.xml
53,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 2 into bowl 12 \n,BBM01,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 4,Trial 4.xml
54,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 8 into bowl 21 \n,BBM01,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 5,Trial 5.xml
55,approach handleft bowl and enclose handleft bowl and approach handright mustard_bottle and enclose handright mustard_bottle and approach handright bowl to pour mustard_bottle 6 into bowl 30 \n,BBM01,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 6,Trial 6.xml
56,approach handright bowl and enclose handright bowl and approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handleft bowl to pour mustard_bottle 30 into bowl 17 \n,BBM01,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 7,Trial 7.xml
57,approach handright bowl and enclose handright bowl and approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handleft bowl to pour mustard_bottle 14 into bowl 22 \n,BBM01,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 8,Trial 8.xml
58,approach handright bowl and enclose handright bowl and approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handleft bowl to pour mustard_bottle 2 into bowl 19 \n,BBM01,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 9,Trial 9.xml
59,approach handright bowl and enclose handright bowl and approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handleft bowl to pour mustard_bottle 17 into bowl 30 \n,BBM01,Expt 1 (Pouring),Bowl and Mustard bottle,Trial 10,Trial 10.xml
60,approach handleft bowl and enclose handleft bowl and approach handright gelatin_box and enclose handright gelatin_box and approach handright bowl to pour gelatin_box 12 into bowl 30 \n,BBM01,Expt 1 (Pouring),Bowl and Gelatin box,Trial 1,Trial 1.xml
61,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 31 into bowl 13 \n,BBM01,Expt 1 (Pouring),Bowl and Gelatin box,Trial 2,Trial 2.xml
62,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 18 into bowl 17 \n,BBM01,Expt 1 (Pouring),Bowl and Gelatin box,Trial 3,Trial 3.xml
63,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 20 into bowl 27 \n,BBM01,Expt 1 (Pouring),Bowl and Gelatin box,Trial 4,Trial 4.xml
64,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 5 into bowl 9 \n,BBM01,Expt 1 (Pouring),Bowl and Gelatin box,Trial 5,Trial 5.xml
65,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 7 into bowl 26 \n,BBM01,Expt 1 (Pouring),Bowl and Gelatin box,Trial 6,Trial 6.xml
66,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 9 into bowl 4 \n,BBM01,Expt 1 (Pouring),Bowl and Gelatin box,Trial 7,Trial 7.xml
67,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 3 into bowl 25 \n,BBM01,Expt 1 (Pouring),Bowl and Gelatin box,Trial 8,Trial 8.xml
68,approach handright bowl and enclose handright bowl and approach handleft gelatin_box and enclose handleft gelatin_box and approach handleft bowl to pour gelatin_box 27 into bowl 21 \n,BBM01,Expt 1 (Pouring),Bowl and Gelatin box,Trial 9,Trial 9.xml
69,approach handleft bowl and enclose handleft bowl and approach handright gelatin_box and enclose handright gelatin_box and approach handright bowl to pour gelatin_box 10 into bowl 26 \n,BBM01,Expt 1 (Pouring),Bowl and Gelatin box,Trial 10,Trial 10.xml
70,approach handleft bowl and enclose handleft bowl and approach handright cracker_box and enclose handright cracker_box and approach handright bowl to pour cracker_box 31 into bowl 15 \n,BBM01,Expt 1 (Pouring),Bowl and Cracker box,Trial 1,Trial 1.xml
71,approach handright bowl and enclose handright bowl and approach handleft cracker_box and enclose handleft cracker_box and approach handleft bowl to pour cracker_box 14 into bowl 25 \n,BBM01,Expt 1 (Pouring),Bowl and Cracker box,Trial 2,Trial 2.xml
72,approach handright bowl and enclose handright bowl and approach handleft cracker_box and enclose handleft cracker_box and approach handleft bowl to pour cracker_box 4 into bowl 21 \n,BBM01,Expt 1 (Pouring),Bowl and Cracker box,Trial 3,Trial 3.xml
